,youtube_id,original_label,normalized_label
405,JDy95_eNPzM,debunking,-1.0
406,ZQ--scjcAZ4,not about misinfo,0.0
407,U0CcyqKlkHs,debunking,-1.0
408,JR-8PZ_nCvE,not about misinfo,0.0
409,HyadRzPa6_U,not about misinfo,0.0
410,P4l9Y5OHqpk,debunking,-1.0
411,U2TrLXEPq1w,debunking,-1.0
412,dE46p0yEFNU,not about misinfo,0.0
413,dV04kx_8m8w,not about misinfo,0.0
414,jkTNaWUxeYY,not about misinfo,0.0
415,qQdVneFWHlA,not about misinfo,0.0
416,kUIYI34CdkE,not about misinfo,0.0
417,ALTvVvuOvT0,debunking,-1.0
418,arU120H9-dk,not about misinfo,0.0
419,2J6_wosP-zs,not about misinfo,0.0
420,7mmlmxamw_k,debunking,-1.0
421,knWCsonQVG4,debunking,-1.0
422,tqqiZdqBNI0,promoting,1.0
423,Hc6pbG4wICA,promoting,1.0
424,sSk1T_UuRQA,promoting,1.0
425,LciefYaAZmc,debunking,-1.0
426,iyW_-tHf0Qw,debunking,-1.0
427,3C2HVOB-g5s,not about misinfo,0.0
428,nhK2_xe1z_8,promoting,1.0
429,JTfhYyTuT44,debunking,-1.0
430,qgT6xYJ4JTI,debunking,-1.0
431,dpthnzDBtfM,debunking,-1.0
432,nsYZyeFhybA,debunking,-1.0
433,1YCtiaEen44,debunking,-1.0
434,orji_VIQCek,debunking,-1.0
435,OwF26HOmw-A,debunking,-1.0
436,O2jJ3wjEyZk,debunking,-1.0
437,lmgCgzjlWO4,not about misinfo,0.0
438,2Bm5NWCMlPo,not about misinfo,0.0
439,22u4qxm1YjY,not about misinfo,0.0
440,0A2wvaRDzbQ,not about misinfo,0.0
441,4Wrc4fHSCpw,debunking,-1.0
442,89PCYdMRtjQ,not about misinfo,0.0
443,Y-D7ZaxZzFc,not about misinfo,0.0
444,rmVdjwGfraU,not about misinfo,0.0
445,8izI-0WA3AI,not about misinfo,0.0
446,89RvUQjjTFE,debunking,-1.0
447,0g8lANs6zpQ,not about misinfo,0.0
448,c0Z7KeNCi7g,not about misinfo,0.0
449,LfHLBOK_3L0,not about misinfo,0.0
450,IrdYueB9pY4,not about misinfo,0.0
451,NZVpbwz6kPk,not about misinfo,0.0
452,I75qa0kTeY4,not about misinfo,0.0
453,K3ksKkCOgTw,not about misinfo,0.0
454,wScC8Hqtmcg,not about misinfo,0.0
455,Rxmw9eizOAo,not about misinfo,0.0
456,tFlAFo78xoQ,not about misinfo,0.0
457,FASZyXee4aw,not about misinfo,0.0
458,M9NhOKy2K80,neutral,0.0
459,w0ztlIAYTCU,not about misinfo,0.0
460,lWDf1lgpyjM,debunking,-1.0
461,1rJZTo0lvNg,debunking,-1.0
462,PMEYotTJmuE,debunking,-1.0
463,gBc9rLKA5Sg,debunking,-1.0
464,0Y_jEBzeLJM,debunking,-1.0
465,wMyxUe-wYkI,debunking,-1.0
466,y5b8vdoSKvg,debunking,-1.0
467,wJBBlntDtEU,promoting,1.0
468,1g_iV57bd1Q,debunking,-1.0
469,NelVTee8zac,not about misinfo,0.0
470,CsWa3XkXTqY,debunking,-1.0
471,tuVuxKTJeBI,not about misinfo,0.0
472,uTChrirK-hw,debunking,-1.0
473,lF3mnuxjPCw,not about misinfo,0.0
474,dd6CQCbk2ro,not about misinfo,0.0
475,Gl3H23g5kT0,not about misinfo,0.0
476,7H6doOmS-eM,not about misinfo,0.0
477,TbW_1MtC2So,not about misinfo,0.0
478,ESQ1bKd7Los,not about misinfo,0.0
479,pLcqJ2DclEg,not about misinfo,0.0
480,89UNPdNtOoE,not about misinfo,0.0
481,Tu6k_-O8FGU,not about misinfo,0.0
482,Wm4Z7dAfrP0,not about misinfo,0.0
483,JASUsVY5YJ8,not about misinfo,0.0
484,eLdmvZbXzo4,not about misinfo,0.0
485,QS299VkXZxI,not about misinfo,0.0
486,DuVBsCpgEcw,not about misinfo,0.0
487,H476c8UjLXY,not about misinfo,0.0
488,ldLBoErAhz4,not about misinfo,0.0
489,hR_QFOlccv4,debunking,-1.0
490,JO1_pW666cY,not about misinfo,0.0
491,D9s5Brovelc,not about misinfo,0.0
492,PVF1NDrHPeo,not about misinfo,0.0
493,aiLJyUo1RXE,not about misinfo,0.0
494,oa1Tu6BRFxU,not about misinfo,0.0
495,7ugQArIkM8A,not about misinfo,0.0
496,lbB7AhwaZy8,debunking,-1.0
497,m4kM5zwxThE,promoting,1.0
498,BM7Sajyy9cE,debunking,-1.0
499,mC7FgdaRiGg,not about misinfo,0.0
500,alqp2wHY_10,debunking,-1.0
501,YCAI1x9PMoI,debunking,-1.0
502,KJDEsAy9RyM,not about misinfo,0.0
503,Cxqx5DBPvaI,debunking,-1.0
504,qLbQT_uR7So,promoting,1.0
505,VgbWDnXYmsw,not about misinfo,0.0
506,H4krWWfVw-4,debunking,-1.0
507,-zIxqKwoHsM,not about misinfo,0.0
508,RN6vGxyMcVU,not about misinfo,0.0
509,HGJPQtb8jjY,debunking,-1.0
510,F75fTUCLxso,debunking,-1.0
511,vURFZW2uQC0,debunking,-1.0
512,VqXFFjn-lR8,debunking,-1.0
513,MbCEBY17Lw8,not about misinfo,0.0
514,0H5LCLljJho,not about misinfo,0.0
515,dk13LvcVheI,not about misinfo,0.0
516,KzSkZwbgP50,not about misinfo,0.0
517,jijuG9tyoR0,debunking,-1.0
518,Xbxc_u5gBWE,not about misinfo,0.0
519,YjWn23pEl3k,debunking,-1.0
520,xTJYNq4GQAE,not about misinfo,0.0
521,E38cc-4TvX8,not about misinfo,0.0
522,_QtHBUOyZ4I,not about misinfo,0.0
523,bU4z8ZiX_eA,not about misinfo,0.0
524,ySbBOASFES4,not about misinfo,0.0
525,N7aeQIBrIWo,not about misinfo,0.0
526,6etX3tsK9GU,not about misinfo,0.0
527,U93QRMcQU5Y,not about misinfo,0.0
528,29SnpXVIlOM,debunking,-1.0
529,ljtn9mHQW14,debunking,-1.0
530,Zo62S0ulqhA,debunking,-1.0
531,xiHc2E3AR1o,not about misinfo,0.0
532,Z5lcOMvAvIc,not about misinfo,0.0
533,dAfdPFWiF9U,neutral,0.0
534,IvtTYMn6IcM,debunking,-1.0
535,64iu9cx31CM,not about misinfo,0.0
536,Ws01wpExImo,not about misinfo,0.0
537,A0CVSp1x1q8,debunking,-1.0
538,WyHoaThrxSs,debunking,-1.0
539,HTifSFWSYq4,not about misinfo,0.0
540,qubSI1lwm10,not about misinfo,0.0
